"","date","country","credit","gdp","inf","stock","yield","global_factor","fin_factor","iv1","iv2","q","year","NFCI","EPU","USRECD","USUN"
"4318",2019-07-01,"Honduras",1.20438612233373,NA,314.085723876953,NA,NA,3.29801180601635,1.3641291901344,-1.56539564672799,2.83263109413242,"3","2019",-0.58929,158.265975952148,0,1.02174265089144
"4319",2019-10-01,"Honduras",1.23725941035032,NA,316.287841796875,NA,NA,0.337411386453217,1.01327491471453,-2.55828049442087,-0.160561297920996,"4","2019",-0.582396153846154,131.235387166341,0,1.05990963848044
"4320",1960-01-01,"Iceland",0.409128817881394,43.2589797973633,0.062110997736454,NA,NA,-2.36175979964734,-1.48599200745431,-0.746166437681793,1.19929146223823,"1","1960",NA,NA,NA,NA
"4321",1960-04-01,"Iceland",0.414945585148866,43.1041069030762,0.0652165487408638,NA,NA,-2.62375661333905,-1.51902442119953,-2.36727182545497,2.67005884069667,"2","1960",NA,NA,NA,NA
"4322",1960-07-01,"Iceland",0.444442920732793,42.9483871459961,0.0639743283390999,NA,NA,-4.07377503436703,-1.99769995195509,-7.7881629067821,1.83890145686685,"3","1960",NA,NA,NA,0.898235748568207
"4323",1960-10-01,"Iceland",0.436364036569545,42.7918167114258,0.0639743283390999,NA,NA,-0.253734808556733,-3.72544893350832,-10.178036898628,1.28291588935076,"4","1960",NA,NA,NA,0.880381383539414
"4324",1961-01-01,"Iceland",0.432681125043297,42.6410865783691,0.0645954385399818,NA,NA,-3.38849103496322,-1.41717007601717,-9.00217058376853,0.990546867082768,"1","1961",NA,NA,NA,0.866780183863636
"4325",1961-04-01,"Iceland",0.460582780353946,42.4870681762695,0.0645954385399818,NA,NA,-3.97930782669736,-1.313232563637,-1.5913414997409,-2.62222964070474,"2","1961",NA,NA,NA,0.827043834230171
"4326",1961-07-01,"Iceland",0.471797527899555,42.9031219482422,0.0664587691426277,NA,NA,0.807476276700011,-2.17058880305413,3.31939829628881,-3.55292274460213,"3","1961",NA,NA,NA,0.809740187854467
"4327",1961-10-01,"Iceland",0.423762962539544,43.9281692504883,0.0714276432991028,NA,NA,-0.674692194613702,-2.49315201655254,5.66973886576443,-1.07903078860503,"4","1961",NA,NA,NA,0.828428249915728
"4328",1962-01-01,"Iceland",0.420201789618023,44.9494438171387,0.0720487534999847,NA,NA,-2.17570267906817,-0.508079970938373,4.61299320678637,-0.47119760632983,"1","1962",NA,NA,NA,0.889046878657577
"4329",1962-04-01,"Iceland",0.44540103534356,45.957935333252,0.0720487534999847,NA,NA,2.66158499429278,-1.16157054433102,2.90174991194686,2.2412008970918,"2","1962",NA,NA,NA,1.04513322757718
