,date,Korea,Australia,Iceland,United Kingdom,Denmark,Spain,Japan,Norway,Canada,Finland,Netherlands,United States,Mexico,Belgium,Germany,Luxembourg,Portugal,Italy,Austria,Ireland,Switzerland,Sweden,France,Greece
100,1997-Q4,3.464837358,0.87065298,-0.359798449,-0.430197646,-0.359798449,-4.869212348,0.394684233,-0.359798449,1.106392353,-0.359798449,-0.359798449,0.344475343,0.897176965,-0.359798449,-1.638969499,-0.359798449,-0.359798449,-0.216725496,-0.359798449,-0.359798449,1.095638773,-0.194994224,-2.116841101,-0.359798449
101,1998-Q1,2.6167849,0.469832923,-0.45656699,-0.924443986,-0.45656699,-5.607669773,0.538636931,-0.45656699,0.093651633,-0.45656699,-0.45656699,-0.018487364,0.969601072,-0.45656699,-1.712682802,-0.45656699,-0.45656699,-0.37239721,-0.45656699,-0.45656699,0.588983152,0.217553791,-2.542911888,-0.45656699
102,1998-Q2,2.049155278,0.533178291,-0.491296861,-0.922748247,-0.491296861,-7.447820046,0.548880181,-0.491296861,0.699685466,-0.491296861,-0.491296861,0.057546769,0.942961455,-0.491296861,-2.241408988,-0.491296861,-0.491296861,-0.632071065,-0.491296861,-0.491296861,0.348675366,-0.729968904,-2.61981878,-0.491296861
103,1998-Q3,2.468923216,0.400642685,-0.046573027,0.171616329,-0.046573027,-6.293821893,0.925533084,-0.046573027,2.201549652,-0.046573027,-0.046573027,1.470882718,2.598224543,-0.046573027,-0.748942718,-0.046573027,-0.046573027,-0.715193344,-0.046573027,-0.046573027,1.775741129,0.172768698,-1.494549779,-0.046573027
104,1998-Q4,2.261821763,0.020595669,0.14428962,1.300587092,0.14428962,-6.332076512,1.825903961,0.14428962,2.213012375,0.14428962,0.14428962,2.366845646,3.768719173,0.14428962,0.319107029,0.14428962,0.14428962,-0.460650486,0.14428962,0.14428962,2.296574023,0.879148102,-0.432723995,0.14428962
105,1999-Q1,1.377107751,-0.417997044,-0.140920522,0.91835934,-0.140920522,-5.923490117,0.121782692,-0.140920522,1.080181582,-0.140920522,-0.140920522,1.264083464,2.529583997,-0.140920522,-0.237382138,-0.140920522,-0.140920522,-0.868640873,-0.140920522,-0.140920522,1.366150723,0.21560603,-0.932170331,-0.140920522
106,1999-Q2,0.550260405,-0.598009866,-0.433621322,-0.2289616,-0.433621322,-7.081848043,-0.684606462,-0.433621322,0.378912088,-0.433621322,-0.433621322,0.659241397,1.79096772,-0.433621322,-1.279664053,-0.433621322,-0.433621322,-1.417761685,-0.433621322,-0.433621322,0.784463638,-0.125275288,-1.171247873,-0.433621322
107,1999-Q3,0.477396029,-0.512876545,-0.495751056,-0.57861869,-0.495751056,-6.27487454,-0.956592566,-0.495751056,0.111013945,-0.495751056,-0.495751056,0.888865832,1.725996692,-0.495751056,-1.139649514,-0.495751056,-0.495751056,-1.497660839,-0.495751056,-0.495751056,0.409148644,-0.479024498,-1.521306754,-0.495751056
108,1999-Q4,0.399672117,-0.507797201,-0.630653638,-1.358725661,-0.630653638,-7.272881854,-1.48642432,-0.630653638,0.246193286,-0.630653638,-0.630653638,1.513756663,1.28830717,-0.630653638,-0.929900861,-0.630653638,-0.630653638,-1.218883956,-0.630653638,-0.630653638,-0.083537614,-0.174783688,-1.953743385,-0.630653638
109,2000-Q1,0.366820393,-0.177877585,-0.541977085,-0.359691435,-0.541977085,-5.843146949,-1.626511971,-0.541977085,0.424382229,-0.541977085,-0.541977085,1.164364497,1.203466468,-0.541977085,-1.176949228,-0.541977085,-0.541977085,-1.189789833,-0.541977085,-0.541977085,0.291511016,0.671799282,-1.898993475,-0.541977085
